word,source,speaker,license,original_filename,url
четврток,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-четврток.wav,https://upload.wikimedia.org/wikipedia/commons/9/95/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%87%D0%B5%D1%82%D0%B2%D1%80%D1%82%D0%BE%D0%BA.wav
среда,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-среда.wav,https://upload.wikimedia.org/wikipedia/commons/c/cf/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%81%D1%80%D0%B5%D0%B4%D0%B0.wav
вторник,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-вторник.wav,https://upload.wikimedia.org/wikipedia/commons/4/41/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B2%D1%82%D0%BE%D1%80%D0%BD%D0%B8%D0%BA.wav
понеделник,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-понеделник.wav,https://upload.wikimedia.org/wikipedia/commons/6/6e/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D0%BE%D0%BD%D0%B5%D0%B4%D0%B5%D0%BB%D0%BD%D0%B8%D0%BA.wav
декември,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-декември.wav,https://upload.wikimedia.org/wikipedia/commons/1/1e/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B4%D0%B5%D0%BA%D0%B5%D0%BC%D0%B2%D1%80%D0%B8.wav
октомври,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-октомври.wav,https://upload.wikimedia.org/wikipedia/commons/d/d4/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BE%D0%BA%D1%82%D0%BE%D0%BC%D0%B2%D1%80%D0%B8.wav
јуни,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-јуни.wav,https://upload.wikimedia.org/wikipedia/commons/7/7f/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%98%D1%83%D0%BD%D0%B8.wav
април,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-април.wav,https://upload.wikimedia.org/wikipedia/commons/9/9b/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B0%D0%BF%D1%80%D0%B8%D0%BB.wav
јануари,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-јануари.wav,https://upload.wikimedia.org/wikipedia/commons/e/e2/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%98%D0%B0%D0%BD%D1%83%D0%B0%D1%80%D0%B8.wav
февруари,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-февруари.wav,https://upload.wikimedia.org/wikipedia/commons/0/05/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%84%D0%B5%D0%B2%D1%80%D1%83%D0%B0%D1%80%D0%B8.wav
